,Year,Month,Monthly_Anom,Monthly_Unc,Annual_Anom,Annual_Unc,Five-Year_Anom,Five-Year_Unc,Ten-Year_Anom,Ten-Year_Unc,Twenty-Year_Anom,Twenty-Year_Unc
11,1745,April,-4.96,3.263,,,,,,,,NaN\
71,1750,April,-2.4090000000000003,3.612,,,,,,,,NaN\
83,1751,April,-3.083,3.52,,,,,,,,NaN\
95,1752,April,-3.302,3.457,,,,,,,,NaN\
107,1753,April,-3.174,4.928,0.369,1.535,,,,,,NaN\
119,1754,April,-0.18000000000000016,5.625,-0.631,1.4669999999999999,,,,,,NaN\
131,1755,April,-3.088,3.967,-0.142,1.4980000000000002,0.039,1.084,,,,NaN\
143,1756,April,-2.2220000000000004,3.877,0.32799999999999996,1.577,-0.461,0.943,,,,NaN\
155,1757,April,-2.0090000000000003,6.021,0.27,1.63,-0.376,0.965,,,,NaN\
167,1758,April,-4.448,5.629,-2.128,1.744,-0.795,0.987,-0.5920000000000001,0.841,,NaN\
179,1759,April,-5.024,4.638,-0.20800000000000002,3.84,-0.83,1.119,-0.551,0.813,,NaN\
191,1760,April,-5.704000000000001,5.357,-2.238,3.63,-1.046,1.15,-0.544,0.835,,NaN\
203,1761,April,-4.167,4.228,0.156,1.82,-0.785,1.109,-0.6659999999999999,0.8690000000000001,,NaN\
215,1762,April,-2.541,4.251,-0.813,1.601,-0.821,1.06,-0.631,0.867,,NaN\
227,1763,April,-4.933,3.537,-0.823,2.251,-0.48,1.08,-0.664,0.993,-0.518,0.923\
239,1764,April,-3.93,4.757,-0.386,1.962,-0.447,0.995,-0.59,1.124,-0.479,0.915\
251,1765,April,-2.6270000000000002,3.267,-0.532,2.0909999999999997,-0.342,0.965,-0.489,1.0859999999999999,-0.435,0.901\
263,1766,April,-2.0230000000000006,4.001,0.321,2.383,-0.433,1.5019999999999998,-0.493,1.001,-0.455,0.900\
275,1767,April,-5.476,5.505,-0.29,1.8,-0.303,1.5819999999999999,-0.611,0.932,-0.418,0.960\
287,1768,April,-5.225,4.832,-1.276,1.5619999999999998,-0.395,1.183,-0.444,1.329,-0.392,0.920\
299,1769,April,-2.8040000000000003,5.945,0.261,2.7969999999999997,-0.615,1.263,-0.408,1.19,-0.37,0.896\
311,1770,April,-2.202,9.307,-0.9890000000000001,1.4909999999999999,-0.753,1.162,-0.326,1.195,-0.272,0.852\
323,1771,April,-6.175000000000001,6.297000000000001,-0.78,1.6130000000000002,-0.326,1.0070000000000001,-0.244,0.7440000000000001,-0.255,0.816\
335,1772,April,-3.3960000000000004,4.742,-0.981,1.518,-0.27,0.972,-0.20600000000000002,0.843,-0.325,0.737\
347,1773,April,-1.1500000000000004,3.423,0.857,1.412,-0.013999999999999999,0.9540000000000001,-0.12,0.795,-0.257,0.709\
359,1774,April,-2.246,5.343,0.545,1.8359999999999999,0.145,0.95,-0.149,0.627,-0.294,0.674\
