,Year,Month,Monthly_Anom,Monthly_Unc,Annual_Anom,Annual_Unc,Five-Year_Anom,Five-Year_Unc,Ten-Year_Anom,Ten-Year_Unc,Twenty-Year_Anom,Twenty-Year_Unc
75,1750,August,12.306000000000001,3.5389999999999997,,,,,,,,NaN\
87,1751,August,11.152000000000001,3.553,,,,,,,,NaN\
111,1753,August,10.976,6.973,-0.562,1.524,,,,,,NaN\
123,1754,August,9.775,4.8469999999999995,-0.1,1.8019999999999998,,,,,,NaN\
135,1755,August,9.595,3.924,0.527,1.973,-0.171,0.912,,,,NaN\
147,1756,August,9.019,7.827999999999999,-0.542,1.52,-0.249,0.9690000000000001,,,,NaN\
159,1757,August,12.288,4.968,-0.18100000000000002,1.6030000000000002,-0.555,0.9440000000000001,,,,NaN\
171,1758,August,8.905000000000001,5.8839999999999995,-0.951,4.527,-0.961,1.021,-0.59,0.8390000000000001,,NaN\
183,1759,August,12.162,6.051,-1.626,3.168,-0.731,1.138,-0.603,0.809,,NaN\
195,1760,August,10.312000000000001,7.3,-1.5019999999999998,3.0210000000000004,-0.892,1.13,-0.619,0.87,,NaN\
207,1761,August,11.945,4.081,0.605,1.6740000000000002,-0.8240000000000001,1.028,-0.6509999999999999,0.87,,NaN\
219,1762,August,9.533000000000001,3.517,-0.985,2.349,-0.59,1.074,-0.7140000000000001,0.885,,NaN\
231,1763,August,10.440000000000001,3.985,-0.608,2.274,-0.392,1.036,-0.643,0.9590000000000001,-0.505,0.913\
243,1764,August,9.796000000000001,3.299,-0.461,2.065,-0.49700000000000005,0.966,-0.547,1.097,-0.441,0.914\
255,1765,August,9.73,4.143,-0.512,2.013,-0.38299999999999995,1.6769999999999998,-0.475,0.995,-0.436,0.908\
267,1766,August,10.776000000000002,3.965,0.08,1.683,-0.4,1.7280000000000002,-0.547,0.9259999999999999,-0.436,0.916\
279,1767,August,12.424000000000001,3.5589999999999997,-0.41200000000000003,1.969,-0.391,1.5119999999999998,-0.607,0.871,-0.466,0.940\
291,1768,August,10.429,3.26,-0.6970000000000001,2.2,-0.46299999999999997,1.364,-0.42,1.244,-0.385,0.904\
303,1769,August,11.264000000000001,4.632,-0.413,2.218,-0.669,1.2790000000000001,-0.27899999999999997,1.216,-0.358,0.869\
315,1770,August,10.07,4.5089999999999995,-0.872,1.91,-0.63,1.151,-0.253,1.104,-0.25,0.846\
327,1771,August,11.044,3.818,-0.9490000000000001,2.655,-0.41600000000000004,0.9009999999999999,-0.221,0.785,-0.304,0.785\
339,1772,August,11.46,4.749,-0.217,1.992,-0.26,1.014,-0.218,0.807,-0.305,0.710\
351,1773,August,11.841000000000001,3.361,0.37200000000000005,1.58,0.034,0.903,-0.127,0.809,-0.259,0.688\
363,1774,August,11.324000000000002,3.9560000000000004,0.366,1.8319999999999999,0.295,1.018,-0.16899999999999998,0.615,-0.281,0.680\
375,1775,August,12.760000000000002,3.535,0.598,1.8159999999999998,0.281,0.9590000000000001,-0.025,0.607,-0.317,0.574\
387,1776,August,12.446000000000002,4.669,0.354,1.6740000000000002,0.076,0.893,-0.062,0.607,-0.359,0.592\
399,1777,August,9.579,3.248,-0.28800000000000003,1.328,0.009000000000000001,0.94,-0.003,0.568,-0.35100000000000003,0.594\
411,1778,August,9.255,4.198,-0.649,2.349,-0.153,0.762,-0.099,0.563,-0.32799999999999996,0.553\
423,1779,August,11.443000000000001,4.047,0.027999999999999997,1.298,-0.37799999999999995,0.7859999999999999,-0.28300000000000003,0.556,-0.386,0.429\
435,1780,August,9.572000000000001,4.952,-0.209,1.723,-0.387,0.8009999999999999,-0.38,0.595,-0.313,0.462\
447,1781,August,11.132000000000001,3.2969999999999997,-0.773,1.685,-0.37,0.851,-0.49700000000000005,0.623,-0.266,0.494\
459,1782,August,13.213000000000001,3.6260000000000003,-0.33399999999999996,1.209,-0.562,0.757,-0.484,0.665,-0.249,0.516\
471,1783,August,10.526000000000002,2.912,-0.562,1.3630000000000002,-0.8140000000000001,0.7759999999999999,-0.53,0.682,-0.268,0.580\
483,1784,August,11.946000000000002,6.12,-0.935,1.89,-0.674,0.736,-0.604,0.677,-0.304,0.688\
495,1785,August,11.609000000000002,4.096,-1.465,2.193,-0.743,0.875,-0.601,0.606,-0.312,0.714\
507,1786,August,13.596,6.607,-0.07400000000000001,2.775,-0.745,1.6869999999999998,-0.47100000000000003,0.631,-0.331,0.774\
519,1787,August,10.200000000000001,4.353,-0.6779999999999999,2.424,-0.478,1.436,-0.494,0.665,-0.302,0.774\
531,1788,August,11.414000000000001,3.335,-0.575,1.334,-0.20600000000000002,1.2919999999999998,-0.43700000000000006,0.735,-0.27899999999999997,0.823\
543,1789,August,12.344000000000001,3.219,0.40399999999999997,1.244,-0.33,1.058,-0.326,1.12,-0.28800000000000003,0.847\
555,1790,August,9.862,3.596,-0.105,1.66,-0.163,0.863,-0.244,1.077,-0.313,0.726\
567,1791,August,10.543000000000001,3.221,-0.695,1.51,-0.055999999999999994,1.035,-0.166,1.061,-0.251,0.726\
579,1792,August,9.397,3.3739999999999997,0.155,1.46,-0.084,1.228,-0.121,0.912,-0.258,0.727\
591,1793,August,10.563,5.28,-0.037000000000000005,2.426,-0.142,1.294,-0.028999999999999998,0.922,-0.27899999999999997,0.749\
603,1794,August,11.034,3.8480000000000003,0.261,1.739,0.132,1.296,0.027000000000000003,0.9990000000000001,-0.264,0.906\
615,1795,August,10.345,3.7689999999999997,-0.39299999999999996,1.79,0.085,1.3430000000000002,-0.026000000000000002,0.997,-0.22699999999999998,0.880\
627,1796,August,11.878,4.809,0.6729999999999999,1.544,0.083,1.1909999999999998,-0.032,0.982,-0.226,0.819\
639,1797,August,10.591000000000001,3.7319999999999998,-0.081,1.865,0.07,1.097,-0.022000000000000002,0.973,-0.248,0.723\
651,1798,August,12.104000000000001,5.316,-0.048,1.696,0.059000000000000004,0.9740000000000001,-0.122,0.9359999999999999,-0.249,0.682\
663,1799,August,10.924000000000001,3.1210000000000004,0.2,1.7590000000000001,-0.126,1.0070000000000001,-0.20199999999999999,0.8290000000000001,-0.31,0.677\
675,1800,August,9.451,3.659,-0.45,1.5030000000000001,-0.373,0.9690000000000001,-0.21100000000000002,0.815,-0.39299999999999996,0.754\
687,1801,August,8.534,3.248,-0.252,1.395,-0.48100000000000004,0.915,-0.28600000000000003,0.731,-0.478,0.731\
699,1802,August,10.229000000000001,3.2910000000000004,-1.314,1.58,-0.51,0.88,-0.376,0.7090000000000001,-0.513,0.706\
711,1803,August,12.686,3.302,-0.586,1.217,-0.588,0.88,-0.47,0.6940000000000001,-0.601,0.667\
723,1804,August,11.270000000000001,3.177,0.052000000000000005,1.565,-0.5670000000000001,0.799,-0.647,0.635,-0.6759999999999999,0.643\
735,1805,August,12.838000000000001,3.193,-0.8370000000000001,1.641,-0.45899999999999996,0.88,-0.7609999999999999,0.622,-0.7,0.599\
747,1806,August,13.189,3.005,-0.149,1.3119999999999998,-0.634,0.929,-0.924,0.625,-0.743,0.559\
759,1807,August,11.872,3.0989999999999998,-0.775,1.43,-0.903,0.871,-1.004,0.653,-0.7759999999999999,0.564\
