,Year,Month,Monthly_Anom,Monthly_Unc,Annual_Anom,Annual_Unc,Five-Year_Anom,Five-Year_Unc,Ten-Year_Anom,Ten-Year_Unc,Twenty-Year_Anom,Twenty-Year_Unc
7,1744,December,-10.943999999999999,3.344,,,,,,,,NaN\
79,1750,December,-12.914,3.76,,,,,,,,NaN\
103,1752,December,-9.008,3.161,,,,,,,,NaN\
115,1753,December,-15.915,5.492000000000001,-0.39299999999999996,1.475,,,,,,NaN\
127,1754,December,-9.299999999999999,3.866,-0.289,1.5030000000000001,,,,,,NaN\
139,1755,December,-12.017,5.542999999999999,0.569,1.775,-0.287,0.9420000000000001,,,,NaN\
151,1756,December,-12.571,3.705,-0.307,1.5319999999999998,-0.377,0.968,,,,NaN\
163,1757,December,-13.735,8.067,-1.013,1.7690000000000001,-0.722,0.963,-0.518,0.845,,NaN\
175,1758,December,-11.968,5.345,-0.845,4.349,-0.925,1.089,-0.591,0.828,,NaN\
187,1759,December,-15.972999999999999,8.738,-2.016,3.3360000000000003,-0.84,1.168,-0.598,0.8109999999999999,,NaN\
199,1760,December,-12.988999999999999,3.844,-0.44299999999999995,1.591,-0.924,1.1,-0.617,0.8759999999999999,,NaN\
211,1761,December,-14.852999999999998,3.74,0.11900000000000001,1.671,-0.825,1.025,-0.583,0.871,,NaN\
223,1762,December,-10.042,4.849,-1.4340000000000002,2.246,-0.484,1.073,-0.639,0.887,-0.509,0.931\
235,1763,December,-11.399,4.007,-0.353,2.171,-0.42,1.02,-0.5760000000000001,0.9390000000000001,-0.473,0.900\
247,1764,December,-9.335999999999999,3.989,-0.31,1.919,-0.505,0.986,-0.5479999999999999,1.036,-0.47600000000000003,0.888\
259,1765,December,-10.039,3.4739999999999998,-0.121,2.077,-0.397,1.614,-0.41100000000000003,1.015,-0.414,0.878\
271,1766,December,-10.764,4.167,-0.306,1.6909999999999998,-0.275,1.6669999999999998,-0.474,0.9229999999999999,-0.41,0.930\
283,1767,December,-10.856,5.151,-0.897,1.944,-0.45799999999999996,1.314,-0.5,1.287,-0.44799999999999995,0.907\
295,1768,December,-7.826999999999999,5.365,0.257,3.0469999999999997,-0.602,1.281,-0.355,1.1909999999999998,-0.375,0.884\
307,1769,December,-13.335999999999999,4.074,-1.222,1.859,-0.759,1.224,-0.354,1.163,-0.322,0.846\
319,1770,December,-9.886,9.152000000000001,-0.8420000000000001,1.59,-0.441,1.0979999999999999,-0.212,0.7340000000000001,-0.237,0.834\
331,1771,December,-8.674,4.7139999999999995,-1.092,1.57,-0.35700000000000004,0.894,-0.23800000000000002,0.815,-0.275,0.772\
343,1772,December,-6.903,4.181,0.6920000000000001,1.588,-0.136,0.9790000000000001,-0.256,0.785,-0.28300000000000003,0.717\
355,1773,December,-8.572999999999999,4.919,0.6809999999999999,1.535,0.129,0.894,-0.175,0.7120000000000001,-0.259,0.677\
367,1774,December,-12.245,5.3660000000000005,-0.11900000000000001,1.929,0.369,1.012,-0.09699999999999999,0.616,-0.297,0.660\
379,1775,December,-10.149999999999999,3.4019999999999997,0.483,1.534,0.20600000000000002,0.951,-0.063,0.578,-0.336,0.568\
391,1776,December,-8.023,3.736,0.109,1.7930000000000001,0.025,1.004,-0.076,0.609,-0.387,0.595\
403,1777,December,-8.767,3.122,-0.125,1.629,0.05,0.877,-0.066,0.564,-0.387,0.574\
415,1778,December,-11.857,3.935,-0.223,1.818,-0.243,0.754,-0.163,0.574,-0.35,0.524\
427,1779,December,-12.482999999999999,8.458,0.006999999999999999,1.253,-0.39299999999999996,0.7609999999999999,-0.239,0.589,-0.33,0.448\
