,Year,Month,Monthly_Anom,Monthly_Unc,Annual_Anom,Annual_Unc,Five-Year_Anom,Five-Year_Unc,Ten-Year_Anom,Ten-Year_Unc,Twenty-Year_Anom,Twenty-Year_Unc
9,1745,February,-13.451,3.31,,,,,,,,NaN\
69,1750,February,-10.047,4.151,,,,,,,,NaN\
81,1751,February,-15.642,3.9360000000000004,,,,,,,,NaN\
105,1753,February,-12.973,3.721,,,,,,,,NaN\
117,1754,February,-14.838000000000001,4.132,-0.495,1.449,,,,,,NaN\
129,1755,February,-14.491,4.404,-0.19,1.459,,,,,,NaN\
141,1756,February,-7.389,4.579,0.43200000000000005,1.5719999999999998,-0.322,0.938,,,,NaN\
153,1757,February,-9.933,4.476,0.265,1.5,-0.35600000000000004,0.966,,,,NaN\
165,1758,February,-13.846,3.719,-1.62,1.8359999999999999,-0.7490000000000001,0.981,-0.532,0.8420000000000001,,NaN\
177,1759,February,-9.476,6.426,-0.665,4.118,-0.828,1.12,-0.536,0.816,,NaN\
189,1760,February,-11.484,4.173,-2.1590000000000003,3.577,-0.9620000000000001,1.192,-0.573,0.833,,NaN\
201,1761,February,-12.159,4.071000000000001,0.042,1.857,-0.858,1.121,-0.6759999999999999,0.861,,NaN\
213,1762,February,-9.84,7.728,-0.408,1.645,-0.85,1.026,-0.614,0.86,,NaN\
225,1763,February,-14.308,3.7739999999999996,-1.1,2.281,-0.489,1.085,-0.637,0.987,-0.519,0.927\
237,1764,February,-8.695,4.285,-0.626,2.26,-0.474,0.995,-0.612,1.145,-0.47200000000000003,0.911\
249,1765,February,-12.656,4.896,-0.35100000000000003,2.175,-0.466,0.9640000000000001,-0.491,1.0490000000000002,-0.449,0.897\
261,1766,February,-10.998000000000001,4.396,0.115,2.306,-0.428,1.5490000000000002,-0.428,1.0070000000000001,-0.445,0.895\
273,1767,February,-12.502,6.105,-0.368,1.65,-0.244,1.656,-0.583,0.91,-0.401,0.947\
285,1768,February,-15.056000000000001,6.386,-0.91,1.681,-0.461,1.224,-0.506,1.358,-0.406,0.912\
297,1769,February,-12.679,3.7889999999999997,0.292,3.255,-0.62,1.273,-0.408,1.206,-0.391,0.888\
309,1770,February,-10.83,4.21,-1.433,1.508,-0.7490000000000001,1.207,-0.325,1.205,-0.308,0.853\
321,1771,February,-15.704,4.751,-0.68,1.433,-0.41200000000000003,1.065,-0.214,0.741,-0.243,0.820\
333,1772,February,-17.136000000000003,7.872999999999999,-1.014,1.584,-0.313,0.9520000000000001,-0.187,0.851,-0.312,0.744\
345,1773,February,-12.481,3.988,0.775,1.422,-0.045,0.977,-0.175,0.784,-0.28,0.716\
357,1774,February,-10.668000000000001,6.082000000000001,0.784,1.913,0.177,0.92,-0.17,0.614,-0.27699999999999997,0.660\
369,1775,February,-9.806000000000001,5.019,-0.092,1.85,0.314,0.98,-0.126,0.613,-0.301,0.618\
381,1776,February,-9.787,3.5589999999999997,0.434,1.57,0.158,0.978,-0.059000000000000004,0.585,-0.349,0.569\
393,1777,February,-12.839,5.5089999999999995,-0.33299999999999996,1.66,-0.025,0.9990000000000001,-0.042,0.616,-0.35600000000000004,0.561\
405,1778,February,-8.404,4.6419999999999995,-0.0,1.733,-0.004,0.873,-0.053,0.564,-0.37,0.555\
417,1779,February,-9.932,7.666,-0.131,1.633,-0.302,0.775,-0.147,0.551,-0.364,0.434\
429,1780,February,-12.206,3.344,0.011000000000000001,1.284,-0.32,0.762,-0.27699999999999997,0.536,-0.32299999999999995,0.421\
441,1781,February,-13.914,8.664,-1.055,1.7930000000000001,-0.35600000000000004,0.816,-0.483,0.613,-0.284,0.453\
453,1782,February,-14.357,7.351,-0.426,1.214,-0.541,0.8190000000000001,-0.526,0.5920000000000001,-0.272,0.529\
465,1783,February,-9.259,3.616,-0.17800000000000002,1.361,-0.757,0.76,-0.565,0.6779999999999999,-0.253,0.527\
477,1784,February,-12.369,7.28,-1.057,1.3319999999999999,-0.6920000000000001,0.7240000000000001,-0.5579999999999999,0.6940000000000001,-0.27399999999999997,0.643\
489,1785,February,-13.424,5.185,-1.067,1.916,-0.648,0.872,-0.52,0.672,-0.27899999999999997,0.690\
501,1786,February,-12.074,3.148,-0.731,2.08,-0.703,0.9129999999999999,-0.51,0.623,-0.32799999999999996,0.753\
513,1787,February,-11.225,4.5569999999999995,-0.207,2.718,-0.6659999999999999,1.459,-0.502,0.6559999999999999,-0.312,0.762\
525,1788,February,-12.565,5.8020000000000005,-0.45399999999999996,1.725,-0.444,1.235,-0.45299999999999996,0.67,-0.302,0.786\
537,1789,February,-13.22,4.275,-0.87,1.3159999999999998,-0.25,1.155,-0.4,1.187,-0.272,0.848\
549,1790,February,-10.736,3.886,0.04,1.348,-0.341,0.894,-0.281,1.187,-0.263,0.851\
561,1791,February,-9.325,3.4760000000000004,0.243,1.72,-0.17,0.889,-0.174,1.113,-0.276,0.748\
573,1792,February,-12.58,3.8930000000000002,-0.6629999999999999,1.413,0.015,1.168,-0.099,0.992,-0.25,0.737\
585,1793,February,-9.964,4.673,0.4,1.777,-0.043,1.234,-0.039,0.8959999999999999,-0.299,0.734\
597,1794,February,-11.178,5.77,0.053,2.6210000000000004,-0.083,1.3119999999999998,0.013000000000000001,0.98,-0.3,0.950\
609,1795,February,-12.397,7.212000000000001,-0.249,1.702,0.099,1.3230000000000002,-0.006999999999999999,1.034,-0.25,0.932\
621,1796,February,-11.39,3.154,0.046,1.7990000000000002,0.11199999999999999,1.314,-0.040999999999999995,1.002,-0.21899999999999997,0.864\
633,1797,February,-6.118,4.275,0.247,1.4369999999999998,0.039,1.12,0.003,0.982,-0.223,0.779\
645,1798,February,-11.416,3.478,0.46399999999999997,1.7830000000000001,-0.009000000000000001,1.026,-0.14400000000000002,0.972,-0.228,0.707\
657,1799,February,-17.644,3.758,-0.312,1.777,0.019,0.9490000000000001,-0.19899999999999998,0.857,-0.272,0.677\
669,1800,February,-10.982,3.938,-0.488,1.354,-0.14400000000000002,0.963,-0.22,0.805,-0.35700000000000004,0.682\
681,1801,February,-13.693,3.2239999999999998,0.183,1.54,-0.35700000000000004,0.99,-0.264,0.753,-0.461,0.744\
