,Year,Month,Monthly_Anom,Monthly_Unc,Annual_Anom,Annual_Unc,Five-Year_Anom,Five-Year_Unc,Ten-Year_Anom,Ten-Year_Unc,Twenty-Year_Anom,Twenty-Year_Unc
1,1744,June,8.304,3.395,,,,,,,,NaN\
73,1750,June,8.652000000000001,3.5580000000000003,,,,,,,,NaN\
85,1751,June,8.079,3.602,,,,,,,,NaN\
109,1753,June,8.74,4.149,-0.342,1.6440000000000001,,,,,,NaN\
121,1754,June,9.930000000000001,3.3160000000000003,-0.08800000000000001,1.56,,,,,,NaN\
133,1755,June,10.525,3.845,-0.313,1.453,-0.078,0.897,,,,NaN\
145,1756,June,9.882000000000001,4.0,0.059000000000000004,1.496,-0.397,0.956,,,,NaN\
157,1757,June,12.157,4.203,0.294,1.495,-0.515,0.966,,,,NaN\
169,1758,June,8.157,5.162000000000001,-1.939,1.689,-0.835,1.001,-0.605,0.8420000000000001,,NaN\
181,1759,June,9.276000000000002,5.6579999999999995,-0.6729999999999999,3.873,-0.8440000000000001,1.124,-0.601,0.8170000000000001,,NaN\
193,1760,June,7.340000000000001,3.562,-1.9140000000000001,2.717,-0.958,1.1540000000000001,-0.603,0.852,,NaN\
205,1761,June,11.525,3.884,0.013999999999999999,1.604,-0.784,1.077,-0.672,0.88,,NaN\
217,1762,June,9.254000000000001,6.392,-0.27899999999999997,1.636,-0.682,1.031,-0.672,0.89,,NaN\
229,1763,June,8.139000000000001,5.419,-1.071,2.095,-0.39899999999999997,1.07,-0.6609999999999999,0.9640000000000001,-0.512,0.931\
241,1764,June,6.0230000000000015,4.196000000000001,-0.159,1.8090000000000002,-0.322,0.972,-0.55,1.102,-0.45899999999999996,0.921\
253,1765,June,5.991000000000001,4.175,-0.5,2.105,-0.32,1.3940000000000001,-0.47100000000000003,1.055,-0.45,0.916\
265,1766,June,9.859,5.579,0.39899999999999997,2.096,-0.36700000000000005,1.4980000000000002,-0.511,0.9690000000000001,-0.45399999999999996,0.921\
277,1767,June,8.911000000000001,4.673,-0.27,2.0140000000000002,-0.415,1.5290000000000001,-0.632,0.9109999999999999,-0.434,0.957\
289,1768,June,8.604000000000001,4.789,-1.3030000000000002,1.57,-0.423,1.3619999999999999,-0.419,1.286,-0.389,0.906\
301,1769,June,10.486,4.783,-0.39899999999999997,2.1319999999999997,-0.627,1.274,-0.316,1.188,-0.358,0.891\
313,1770,June,8.405000000000001,4.1930000000000005,-0.54,2.16,-0.6809999999999999,1.187,-0.297,1.172,-0.257,0.863\
325,1771,June,11.225000000000001,3.7230000000000003,-0.621,2.072,-0.344,0.9309999999999999,-0.237,0.779,-0.284,0.806\
337,1772,June,7.517,4.5680000000000005,-0.539,1.645,-0.293,0.9590000000000001,-0.195,0.8270000000000001,-0.322,0.732\
349,1773,June,8.536000000000001,3.182,0.379,1.5230000000000001,-0.001,0.877,-0.11800000000000001,0.8190000000000001,-0.249,0.704\
361,1774,June,11.477,7.266,-0.145,1.7,0.15,0.965,-0.166,0.633,-0.29100000000000004,0.661\
373,1775,June,8.111,4.276,0.9229999999999999,1.739,0.168,0.919,-0.043,0.59,-0.332,0.591\
385,1776,June,10.318000000000001,3.96,0.134,1.767,-0.006999999999999999,0.945,-0.057,0.613,-0.371,0.583\
397,1777,June,8.256,3.74,-0.45299999999999996,1.415,0.099,0.9890000000000001,-0.012,0.581,-0.34600000000000003,0.559\
409,1778,June,7.555000000000001,6.016,-0.49200000000000005,1.849,-0.125,0.857,-0.079,0.555,-0.341,0.568\
421,1779,June,8.297,4.383,0.385,1.6540000000000001,-0.303,0.86,-0.265,0.535,-0.4,0.432\
433,1780,June,8.499,5.151,-0.19699999999999998,1.239,-0.299,0.809,-0.36700000000000005,0.5760000000000001,-0.311,0.436\
