,Year,Month,Monthly_Anom,Monthly_Unc,Annual_Anom,Annual_Unc,Five-Year_Anom,Five-Year_Unc,Ten-Year_Anom,Ten-Year_Unc,Twenty-Year_Anom,Twenty-Year_Unc
10,1745,March,-10.908,3.27,,,,,,,,NaN\
70,1750,March,-7.538,4.493,,,,,,,,NaN\
82,1751,March,-7.439,3.717,,,,,,,,NaN\
94,1752,March,-7.0600000000000005,3.319,,,,,,,,NaN\
106,1753,March,-6.787,4.328,0.245,1.551,,,,,,NaN\
118,1754,March,-9.284,3.719,-0.586,1.4369999999999998,,,,,,NaN\
130,1755,March,-10.063,4.393,-0.145,1.464,0.085,1.067,,,,NaN\
142,1756,March,-8.596,5.711,0.44,1.5430000000000001,-0.364,0.946,,,,NaN\
154,1757,March,-8.735,3.85,0.47200000000000003,1.565,-0.345,0.9670000000000001,,,,NaN\
166,1758,March,-9.969,4.433,-2.004,1.817,-0.741,0.987,-0.5770000000000001,0.83,,NaN\
178,1759,March,-8.677,4.275,-0.488,4.234,-0.809,1.115,-0.519,0.815,,NaN\
190,1760,March,-11.855,8.218,-2.123,3.563,-1.03,1.166,-0.5479999999999999,0.836,,NaN\
202,1761,March,-6.646,3.155,0.098,1.796,-0.828,1.113,-0.6679999999999999,0.866,,NaN\
214,1762,March,-9.718,4.248,-0.631,1.5930000000000002,-0.857,1.071,-0.602,0.872,,NaN\
226,1763,March,-12.244,5.952000000000001,-0.997,2.063,-0.508,1.08,-0.6579999999999999,0.981,-0.526,0.921\
238,1764,March,-7.232,4.506,-0.629,2.204,-0.48100000000000004,1.005,-0.609,1.127,-0.47,0.913\
250,1765,March,-7.109,3.7089999999999996,-0.382,2.0709999999999997,-0.415,0.968,-0.519,1.062,-0.434,0.901\
262,1766,March,-7.552,3.943,0.235,2.463,-0.43,1.516,-0.47600000000000003,1.0,-0.44799999999999995,0.896\
274,1767,March,-7.292,6.851,-0.302,1.732,-0.23600000000000002,1.611,-0.604,0.912,-0.405,0.949\
286,1768,March,-12.439,4.981,-1.073,1.578,-0.431,1.202,-0.475,1.3219999999999998,-0.405,0.911\
298,1769,March,-8.308,5.178,0.34299999999999997,3.036,-0.624,1.24,-0.42200000000000004,1.209,-0.379,0.890\
310,1770,March,-15.219,5.093,-1.357,1.545,-0.7809999999999999,1.1840000000000002,-0.32,1.2009999999999998,-0.295,0.850\
322,1771,March,-12.443999999999999,6.69,-0.731,1.421,-0.382,1.043,-0.228,0.736,-0.253,0.813\
334,1772,March,-12.285,4.769,-1.088,1.6269999999999998,-0.318,0.972,-0.209,0.836,-0.32299999999999995,0.737\
346,1773,March,-8.55,3.489,0.9229999999999999,1.4169999999999998,-0.035,0.958,-0.153,0.8170000000000001,-0.267,0.716\
358,1774,March,-8.859,3.7039999999999997,0.664,1.954,0.154,0.9390000000000001,-0.14800000000000002,0.621,-0.3,0.676\
370,1775,March,-6.507,3.633,0.057999999999999996,1.758,0.299,0.963,-0.07,0.595,-0.326,0.611\
382,1776,March,-9.181,3.7769999999999997,0.21600000000000003,1.5759999999999998,0.16399999999999998,0.998,-0.03,0.583,-0.361,0.572\
394,1777,March,-9.885,3.3169999999999997,-0.363,1.617,-0.008,0.9940000000000001,-0.042,0.595,-0.364,0.554\
406,1778,March,-9.841,4.364,0.245,1.965,-0.07200000000000001,0.862,-0.059000000000000004,0.562,-0.36200000000000004,0.570\
418,1779,March,-5.731,4.4430000000000005,-0.196,1.571,-0.271,0.767,-0.179,0.563,-0.385,0.447\
430,1780,March,-8.6,3.5860000000000003,-0.261,1.258,-0.268,0.7490000000000001,-0.331,0.5379999999999999,-0.289,0.422\
442,1781,March,-8.924,2.986,-0.78,1.511,-0.396,0.857,-0.494,0.613,-0.263,0.457\
454,1782,March,-12.308,4.706,-0.348,1.2,-0.564,0.8009999999999999,-0.519,0.615,-0.262,0.522\
466,1783,March,-9.229,3.488,-0.395,1.45,-0.75,0.758,-0.5710000000000001,0.684,-0.251,0.532\
478,1784,March,-12.75,4.705,-1.034,1.274,-0.669,0.728,-0.622,0.698,-0.263,0.647\
490,1785,March,-13.023,3.593,-1.1909999999999998,2.089,-0.6920000000000001,0.892,-0.507,0.67,-0.29600000000000004,0.685\
502,1786,March,-10.504999999999999,5.1979999999999995,-0.377,2.398,-0.6659999999999999,0.915,-0.496,0.631,-0.331,0.746\
514,1787,March,-9.075,5.431,-0.46399999999999997,2.443,-0.633,1.501,-0.48200000000000004,0.66,-0.303,0.758\
526,1788,March,-10.531,3.8989999999999996,-0.264,1.621,-0.419,1.217,-0.442,0.6859999999999999,-0.295,0.781\
538,1789,March,-13.42,4.7860000000000005,-0.867,1.314,-0.3,1.097,-0.348,1.178,-0.28800000000000003,0.851\
550,1790,March,-7.025,3.385,-0.121,1.334,-0.29600000000000004,0.879,-0.26,1.178,-0.276,0.840\
562,1791,March,-7.319,4.112,0.21899999999999997,1.774,-0.193,0.887,-0.168,1.123,-0.272,0.746\
574,1792,March,-9.897,3.235,-0.444,1.4409999999999998,-0.002,1.175,-0.08800000000000001,0.965,-0.23199999999999998,0.737\
586,1793,March,-7.9190000000000005,3.6839999999999997,0.251,1.672,-0.034,1.2830000000000001,-0.019,0.882,-0.298,0.737\
598,1794,March,-6.390000000000001,3.292,0.08800000000000001,2.681,-0.073,1.307,0.046,0.986,-0.294,0.935\
610,1795,March,-10.506,3.835,-0.28300000000000003,1.715,0.098,1.319,-0.045,1.014,-0.23399999999999999,0.929\
622,1796,March,-9.871,3.83,0.024,1.7369999999999999,0.12300000000000001,1.321,-0.047,1.002,-0.215,0.861\
634,1797,March,-7.716,4.101,0.409,1.554,0.034,1.121,0.018000000000000002,0.9790000000000001,-0.225,0.763\
646,1798,March,-8.05,3.384,0.37799999999999995,1.675,-0.035,0.9990000000000001,-0.153,0.965,-0.225,0.697\
658,1799,March,-9.503,3.792,-0.359,1.871,0.01,0.9540000000000001,-0.24,0.838,-0.27,0.673\
670,1800,March,-11.636,4.186,-0.624,1.355,-0.188,0.955,-0.209,0.805,-0.376,0.770\
682,1801,March,-8.017,3.383,0.248,1.505,-0.366,0.998,-0.262,0.74,-0.457,0.741\
694,1802,March,-8.039,3.237,-0.581,1.4980000000000002,-0.435,0.883,-0.363,0.732,-0.48700000000000004,0.712\
706,1803,March,-8.987,3.525,-0.512,1.426,-0.39299999999999996,0.945,-0.431,0.718,-0.596,0.684\
718,1804,March,-11.339,4.18,-0.7040000000000001,1.251,-0.5489999999999999,0.8590000000000001,-0.586,0.6679999999999999,-0.654,0.637\
730,1805,March,-9.168,3.245,-0.41600000000000004,1.891,-0.596,0.853,-0.706,0.629,-0.684,0.608\
