,Year,Month,Monthly_Anom,Monthly_Unc,Annual_Anom,Annual_Unc,Five-Year_Anom,Five-Year_Unc,Ten-Year_Anom,Ten-Year_Unc,Twenty-Year_Anom,Twenty-Year_Unc
0,1744,May,1.6270000000000002,3.3939999999999997,,,,,,,,NaN\
72,1750,May,2.52,3.585,,,,,,,,NaN\
108,1753,May,3.2600000000000002,3.572,0.23399999999999999,1.5190000000000001,,,,,,NaN\
120,1754,May,3.606,4.058,-0.639,1.507,,,,,,NaN\
132,1755,May,4.424,3.543,-0.087,1.673,0.001,1.081,,,,NaN\
144,1756,May,3.241,5.329,0.105,1.621,-0.46299999999999997,0.945,,,,NaN\
156,1757,May,3.715,4.298,0.391,1.621,-0.40299999999999997,0.968,,,,NaN\
168,1758,May,1.397,5.249,-2.0869999999999997,1.71,-0.818,0.9990000000000001,-0.6,0.85,,NaN\
180,1759,May,0.8310000000000002,4.023,-0.34,3.639,-0.8059999999999999,1.126,-0.569,0.812,,NaN\
192,1760,May,1.955,4.256,-2.162,3.1260000000000003,-1.02,1.167,-0.5660000000000001,0.841,,NaN\
204,1761,May,3.733,4.856,0.17,1.882,-0.794,1.083,-0.672,0.884,,NaN\
216,1762,May,1.6170000000000002,5.644,-0.68,1.6680000000000001,-0.792,1.048,-0.645,0.87,,NaN\
228,1763,May,2.263,4.24,-0.958,2.124,-0.44799999999999995,1.085,-0.664,0.973,-0.511,0.935\
240,1764,May,1.4320000000000002,6.2860000000000005,-0.331,1.891,-0.39,0.988,-0.56,1.101,-0.465,0.924\
252,1765,May,1.843,3.391,-0.442,2.182,-0.307,0.9670000000000001,-0.48,1.072,-0.44,0.920\
264,1766,May,2.5090000000000003,3.553,0.46,2.187,-0.426,1.489,-0.508,0.976,-0.456,0.915\
276,1767,May,2.023,3.7310000000000003,-0.262,1.9609999999999999,-0.348,1.555,-0.617,0.934,-0.41700000000000004,0.963\
288,1768,May,1.4020000000000001,3.81,-1.556,1.614,-0.425,1.196,-0.423,1.328,-0.387,0.917\
300,1769,May,4.423,7.575,0.06,2.5180000000000002,-0.6609999999999999,1.2670000000000001,-0.361,1.1740000000000002,-0.354,0.894\
312,1770,May,3.101,3.4610000000000003,-0.828,1.6230000000000002,-0.746,1.1740000000000002,-0.315,1.181,-0.262,0.859\
