,Year,Month,Monthly_Anom,Monthly_Unc,Annual_Anom,Annual_Unc,Five-Year_Anom,Five-Year_Unc,Ten-Year_Anom,Ten-Year_Unc,Twenty-Year_Anom,Twenty-Year_Unc
4,1744,September,5.3919999999999995,3.305,,,,,,,,NaN\
76,1750,September,5.082000000000001,3.7230000000000003,,,,,,,,NaN\
88,1751,September,4.620000000000001,3.58,,,,,,,,NaN\
112,1753,September,5.834,3.408,-0.77,1.489,,,,,,NaN\
124,1754,September,4.742000000000001,3.859,-0.16399999999999998,1.746,,,,,,NaN\
136,1755,September,5.291,3.282,0.649,1.867,-0.225,0.9059999999999999,,,,NaN\
148,1756,September,5.385999999999999,4.162,-0.5539999999999999,1.516,-0.239,0.982,,,,NaN\
160,1757,September,7.876000000000001,6.978,-0.28300000000000003,1.6369999999999998,-0.585,0.9520000000000001,-0.47200000000000003,1.138,,NaN\
172,1758,September,3.276,3.9589999999999996,-0.8440000000000001,4.558,-0.9279999999999999,1.021,-0.596,0.8320000000000001,,NaN\
184,1759,September,5.399000000000001,5.917999999999999,-1.891,3.6060000000000003,-0.748,1.137,-0.601,0.825,,NaN\
196,1760,September,5.8260000000000005,5.396,-1.068,2.408,-0.93,1.119,-0.624,0.871,,NaN\
208,1761,September,6.502000000000001,4.459,0.349,1.692,-0.799,1.004,-0.645,0.8690000000000001,,NaN\
220,1762,September,3.8290000000000006,6.922000000000001,-1.196,2.657,-0.511,1.067,-0.722,0.8809999999999999,-0.535,NaN\
232,1763,September,5.065000000000001,3.795,-0.191,2.012,-0.40700000000000003,1.044,-0.629,0.9590000000000001,-0.501,0.910\
244,1764,September,5.030000000000001,5.119,-0.45,1.9869999999999999,-0.457,0.9670000000000001,-0.546,1.091,-0.439,0.907\
256,1765,September,4.656000000000001,3.352,-0.5489999999999999,1.9880000000000002,-0.386,1.615,-0.47,0.9640000000000001,-0.429,0.907\
268,1766,September,6.088000000000001,4.352,0.10099999999999999,1.646,-0.418,1.725,-0.552,0.912,-0.44,0.921\
280,1767,September,6.879000000000001,4.652,-0.841,2.086,-0.526,1.536,-0.598,0.871,-0.48200000000000004,0.924\
292,1768,September,4.923,4.644,-0.353,2.5660000000000003,-0.544,1.3530000000000002,-0.406,1.232,-0.369,0.905\
304,1769,September,5.536000000000001,3.2110000000000003,-0.9890000000000001,2.299,-0.752,1.264,-0.27699999999999997,1.213,-0.355,0.865\
316,1770,September,6.454000000000001,4.072,-0.6409999999999999,1.645,-0.565,1.186,-0.233,1.062,-0.262,0.837\
328,1771,September,5.836,3.305,-0.9359999999999999,2.102,-0.425,0.899,-0.235,0.804,-0.305,0.775\
340,1772,September,4.943999999999999,4.065,0.095,1.777,-0.115,1.006,-0.24100000000000002,0.81,-0.29100000000000004,0.709\
352,1773,September,6.714,3.469,0.34600000000000003,1.661,0.08800000000000001,0.88,-0.109,0.8009999999999999,-0.261,0.680\
364,1774,September,5.27,3.988,0.562,1.841,0.335,1.0,-0.163,0.619,-0.281,0.675\
376,1775,September,7.068999999999999,4.166,0.375,1.7380000000000002,0.259,0.965,-0.054000000000000006,0.614,-0.322,0.570\
388,1776,September,4.452999999999999,3.668,0.29600000000000004,1.696,0.128,0.907,-0.057999999999999996,0.605,-0.35200000000000004,0.591\
400,1777,September,4.086,4.603,-0.284,1.48,-0.026000000000000002,0.922,0.016,0.5589999999999999,-0.361,0.595\
412,1778,September,7.026,3.255,-0.307,2.005,-0.14800000000000002,0.754,-0.11599999999999999,0.562,-0.32,0.544\
424,1779,September,6.2379999999999995,3.1180000000000003,-0.21100000000000002,1.2409999999999999,-0.418,0.8059999999999999,-0.28600000000000003,0.552,-0.381,0.431\
436,1780,September,2.978999999999999,3.449,-0.23600000000000002,1.7790000000000001,-0.377,0.7809999999999999,-0.41100000000000003,0.596,-0.319,0.468\
448,1781,September,6.281000000000001,6.018,-1.055,1.8319999999999999,-0.48700000000000004,0.838,-0.47,0.629,-0.271,0.503\
460,1782,September,7.219000000000001,2.9189999999999996,-0.077,1.297,-0.636,0.742,-0.48,0.6759999999999999,-0.239,0.517\
472,1783,September,4.6129999999999995,4.397,-0.856,1.334,-0.84,0.763,-0.531,0.6890000000000001,-0.273,0.578\
484,1784,September,4.895,3.4960000000000004,-0.958,1.7790000000000001,-0.62,0.785,-0.598,0.682,-0.302,0.696\
496,1785,September,3.4030000000000005,2.972,-1.255,2.072,-0.764,0.897,-0.584,0.601,-0.319,0.731\
508,1786,September,7.656000000000001,7.638,0.045,3.0069999999999997,-0.757,1.621,-0.484,0.635,-0.32799999999999996,0.784\
520,1787,September,4.568000000000001,4.1610000000000005,-0.799,2.256,-0.37799999999999995,1.426,-0.494,0.667,-0.29,0.782\
532,1788,September,6.850999999999999,3.193,-0.816,1.276,-0.153,1.315,-0.429,0.726,-0.28300000000000003,0.826\
544,1789,September,6.8870000000000005,3.2460000000000004,0.937,1.258,-0.344,1.0170000000000001,-0.317,1.148,-0.29100000000000004,0.856\
556,1790,September,4.948,3.2430000000000003,-0.13,1.6769999999999998,-0.12,0.8759999999999999,-0.226,1.092,-0.309,0.733\
568,1791,September,4.661,3.597,-0.91,1.453,0.062,1.047,-0.18600000000000003,1.033,-0.258,0.726\
580,1792,September,7.2780000000000005,3.92,0.32,1.507,-0.142,1.217,-0.099,0.903,-0.26899999999999996,0.727\
592,1793,September,5.494,3.553,0.091,2.438,-0.184,1.2890000000000001,-0.035,0.9209999999999999,-0.275,0.749\
604,1794,September,5.911000000000001,3.6039999999999996,-0.08199999999999999,1.681,0.168,1.3,0.016,1.006,-0.259,0.922\
